title,company,location,job_type,salary,description
APS 6 - ICT System Administrator,Australian Department of Defence,Adelaide SA,Full time,"$95,187 - $108,734","Manage and maintain technology systems including servers and networks • Strong technical skills in computer science, network protocols, and systems • Collaborate with IT teams, troubleshoot issues, and ensure security"
Technical Director - Systems Engineering and Integration,Mott MacDonald,Adelaide SA,Permanent,,"Lead and manage Systems Engineering & Integration team in Adelaide • Develop strategies, plans, and roadmaps for business and projects • Bachelor's degree in Engineering/Science, experience in systems engineering"
Operations Manager - SA,Motorola Solutions,Adelaide SA,Full time,,Lead and manage network operations team for SAGRN • Ensure compliance with ITIL 4 framework and principles • Minimum 5 years experience in telecom operational management role
Infrastructure Engineer,Saab,Adelaide SA,Full time,,"Deploy, configure, and commission complex ICT infrastructure components • Collaborate with Software and Systems Engineering teams for project success • Travel for deployment, maintain technical documentation, and support trials"
Control Systems Engineer,Borg,Mount Gambier SA,Permanent,,"Design, develop, test, and commission industrial control systems • Bachelor's degree in relevant field required; PLC and SCADA experience • Experience with Siemens, Rockwell, Wonderware, Ignition, and Fanuc systems"
Product Security Engineer,BAE Systems,Edinburgh SA,,,Provide technical advice on Cyber and Product Security • Ensure compliance with security standards and accreditation frameworks • Bachelor's degree in Engineering; ITAR clearance required
Cybersecurity & IT Technician,Solinnov,Mawson Lakes SA,Full time,"$90,000 - $120,000","Provide IT support for Windows, Linux, and cybersecurity services • Develop and implement IT cybersecurity policies and disaster recovery procedures • Required: Australian citizenship, security clearance, and 5 years experience"
Senior Compositors - EOI,Rising Sun Pictures,Adelaide SA,,,"Create high-end composites for live-action feature films • Extensive experience with Nuke and Linux system environment required • Lead sequences, supervise team, and maintain visual continuity"
Marketing Automation Specialist,Refuel Creative,Adelaide SA,Full time,,"Lead HubSpot services and develop automation strategy for clients • Design advanced automation workflows and collaborate with technical team • Require deep expertise in HubSpot, problem-solving skills, and certifications"
Windows Server Engineer,Cleared ICT,Adelaide SA,Contract,$100 - $140,"Design, deploy, and manage secure Windows Server environments • Experience with Active Directory, SQL Server Clusters, and VMware • Support government ICT projects in high-assurance environments"
Engineering Manager,Skilled Jobs Australia,Salisbury Plain SA,,,"Manage engineering and research department operations efficiently • Oversee R&D projects, budgets, and technical client liaison • Ensure compliance with regulations, safety, and quality standards"
Engineering Technologist,Skilled Jobs Australia,Virginia SA,Full time,"$66,000 - $77,000",Our client a well-established engineering company providing high quality products is looking for full time skilled Engineering...
Technical Team Lead (Field Services),Canon,Adelaide SA,Full time,,"Lead field service team to achieve productivity targets • Manage resource planning for optimum customer satisfaction and retention • Provide technical support, manage performance, and ensure compliance"
Customer Support Agent,Redarc Electronics,Lonsdale SA,Full time,,"Provide customer support via phone and email • Assist with warranty claims, sales orders, and reception duties • Contribute to improving customer experience and document interactions"
ICT System Administrator,Department of Defence,Adelaide SA,Full time,,"Manage organization's technology systems: servers, networks maintenance. • Responsible for data backup, recovery, and implementing security policies • Technical, problem-solving, and communication skills essential"
Senior Effects Artist - EOI,Rising Sun Pictures,Adelaide SA,Contract,,"Develop and create natural phenomena for films and TV • Lead effects team, resolve issues, and mentor junior members • Minimum 4-5 years experience with Houdini, Python, and Arnold"
Project Officers - Drive ICT Project Success,MACRO Recruitment,Adelaide SA,Contract,$100 - $120,"Support ICT project planning, delivery, and management • Coordinate project tasks, risks, and procure ICT goods/services • Require AGSVA TSPV clearance, project support competencies, and more"
ICT Cyber Security Specialist,Downer,Adelaide SA,,,"Conduct security risk assessments and develop mitigation strategies • Analyze security features, support certification processes • Review information system security architecture and ensure compliance"
Communications Engineer,Babcock International Group,Keswick SA,,,"Design, test, and integrate Defence High Frequency Communications System • Apply systems engineering principles to complex hardware solutions • Collaborate with design teams, suppliers, and contractors for integration"
Internship,SRC Inc,Adelaide SA,Casual,,"Contribute to solving complex Electronic Warfare challenges • Analyze radar and EW systems, apply AI/ML techniques • Internship for students in technical fields"
Salesperson - Technology & Entertainment,Harvey Norman,Port Pirie SA,Full time,,"The Harvey Norman Port Pirie Technology & Entertainment Team is seeking a passionate, customer service focused Salesperson to join them..."
IT End User Support Officer,Ultra Electronics,Adelaide SA,Full time,,"5+ years customer-facing IT support with infrastructure responsibilities • Experience in system administration, networking fault diagnostics, and Linux • Must be eligible for Australian security clearance and relevant degree"
Power System Engineers (multiple roles),Australian Energy Market Operator,Adelaide SA,Full time,,"Contribute to energy transition in power system operations • Skills in power system engineering, analysis, and modelling required • Opportunities for professional development, flexible working arrangements"
Graphic Designer (Start ASAP),Prosple,Adelaide SA,Part time,,"Part-time role supporting Marketing Manager with brand building • Creating content, collateral, e-mail campaigns, social media management • Graphic design qualification, Indesign proficiency, customer service"
Cybersecurity Specialist - Defence Sector,Saab,Mawson Lakes SA,Full time,,"Working under the direction of the Cybersecurity Lead, the Cybersecurity Specialist will support the Cybersecurity team in providing..."
